肖申克的救赎 The Shawshank Redemption(1994) 9.7
霸王别姬(1993) 9.6
阿甘正传 Forrest Gump(1994) 9.5
这个杀手不太冷 Léon(1994) 9.4
泰坦尼克号 Titanic(1997) 9.4
美丽人生 La vita è bella(1997) 9.5
千与千寻 千と千尋の神隠し(2001) 9.4
辛德勒的名单 Schindler's List(1993) 9.5
盗梦空间 Inception(2010) 9.3
忠犬八公的故事 Hachi: A Dog's Tale(2009) 9.4
海上钢琴师 La leggenda del pianista sull'oceano(1998) 9.3
星际穿越 Interstellar(2014) 9.3
楚门的世界 The Truman Show(1998) 9.3
三傻大闹宝莱坞 3 Idiots(2009) 9.2
机器人总动员 WALL·E(2008) 9.3
放牛班的春天 Les choristes(2004) 9.3
